Yr,Conf,Team,W,L,GP,SecO_W,SecO_Diff,SnP_val,SnP_pct,SnP_rnk,SnPO_val,SnPO_rnk,SnPD_val,SnPD_rnk,SnPS_val,SnPS_rnk,SoS,SoS_rnk
2018,ACC,Duke,8,5,13,6.8,-1.2,5,60.5,51,30.5,52,25,46,-0.5,87,0.901,52
2018,Pac-12,Arizona State,7,6,13,6.3,-0.7,5,60.5,52,33.9,35,30.4,86,1.5,14,0.892,45
2018,SEC,Arkansas,2,10,12,3.4,1.4,4.5,58.8,53,29.7,61,25.7,49,0.5,52,0.777,5
2018,MAC,Ohio,9,4,13,8.9,-0.1,4,57.6,54,38.2,16,35,107,0.8,40,0.974,127
2018,ACC,Virginia Tech,6,7,13,5.7,-0.3,3.9,57.2,55,32.8,41,29.4,77,0.4,57,0.921,71
2018,Pac-12,California,7,6,13,6.5,-0.5,3.9,57.1,56,18.3,118,15.6,13,1.2,25,0.909,58
2018,ACC,Wake Forest,7,6,13,7.4,0.4,3.6,56.4,57,31.2,48,28.1,64,0.5,49,0.89,42
2018,Pac-12,Arizona,5,7,12,5.3,0.3,3.6,56.2,58,32.3,43,29,74,0.3,63,0.918,67
2018,Big Ten,Maryland,5,7,12,5.3,0.3,3,54.6,59,27.6,80,25.9,51,1.3,21,0.861,20
2018,AAC,Temple,8,5,13,8.5,0.5,2.9,54.4,60,28.1,76,23.9,42,-1.3,106,0.951,102
2018,ACC,Pittsburgh,7,7,14,6.8,-0.2,2.7,53.8,61,29,71,26.6,53,0.4,60,0.849,17
2018,Sun Belt,Troy,10,3,13,8.8,-1.2,2.6,53.4,62,26.4,89,25.6,48,1.8,9,0.961,115
2018,ACC,Boston College,7,5,12,6.2,-0.8,2.4,52.9,63,26.5,88,22.1,32,-1.9,118,0.896,48
2018,AAC,Houston,8,5,13,8.1,0.1,2.3,52.6,64,36.7,20,34.9,106,0.6,47,0.961,113
2018,C-USA,North Texas,9,4,13,9.8,0.8,2.1,51.9,65,29.2,67,29.5,78,2.4,5,0.981,130
2018,MAC,Toledo,7,6,13,7.1,0.1,2,51.6,66,35.2,28,34.4,102,1.1,26,0.953,106
2018,Big 12,Baylor,7,6,13,6.9,-0.1,2,51.5,67,33.1,39,30.3,85,-0.8,99,0.889,41
2018,Big Ten,Northwestern,9,5,14,6.2,-2.8,1.9,51.4,68,25.5,94,21.6,30,-2,120,0.854,19
2018,MWC,Wyoming,6,6,12,6.3,0.3,1.9,51.2,69,25.1,95,23.7,41,0.4,56,0.907,57
2018,Big Ten,Indiana,5,7,12,4.7,-0.3,1.6,50.4,70,30.2,55,29.1,75,0.4,54,0.861,21
2018,ACC,Florida State,5,7,12,4.4,-0.6,1.4,49.8,71,25,97,22.8,37,-0.8,96,0.85,18
2018,Sun Belt,Arkansas State,8,5,13,8.7,0.7,1.2,49.2,72,29.9,57,27.9,62,-0.8,98,0.926,75
2018,C-USA,Marshall,9,4,13,9.2,0.2,1,48.7,73,22,113,20.5,22,-0.5,88,0.971,124
2018,ACC,Georgia Tech,7,6,13,5.8,-1.2,0.3,46.6,74,33,40,33.9,100,1.2,24,0.864,23
2018,C-USA,UAB,11,3,14,10.1,-0.9,-0.3,44.9,75,24.1,104,24.4,45,0,68,0.961,114
2018,Pac-12,UCLA,3,9,12,3.3,0.3,-0.4,44.7,76,30.7,50,32.4,97,1.3,19,0.844,15
2018,MWC,Nevada,8,5,13,6.5,-1.5,-0.5,44.3,77,27.5,83,28,63,0.1,66,0.94,87
2018,Big 12,Kansas State,5,7,12,5.6,0.6,-0.5,44.3,78,27.2,84,27.5,61,-0.2,75,0.863,22
2018,MAC,Miami-OH,6,6,12,5.9,-0.1,-0.7,43.6,79,26.2,90,28.4,66,1.5,12,0.966,119
2018,Pac-12,Colorado,5,7,12,5.4,0.4,-0.7,43.6,80,27,85,27.2,58,-0.5,89,0.904,54
2018,C-USA,Florida Atlantic,5,7,12,6.6,1.6,-0.8,43.4,81,30.8,49,29.9,82,-1.8,114,0.931,78
2018,MAC,Buffalo,10,4,14,9.5,-0.5,-1.1,42.6,82,31.3,47,29.9,83,-2.5,126,0.974,126
2018,AAC,South Florida,7,6,13,6.7,-0.3,-1.2,42.2,83,29.1,69,29.8,80,-0.5,91,0.955,109
2018,Ind,Army,11,2,13,8.1,-2.9,-1.5,41.3,84,29.4,65,28.7,70,-2.2,123,0.942,90
2018,MWC,Air Force,5,7,12,6.1,1.1,-1.8,40.5,85,29.2,68,31.2,91,0.2,65,0.945,93
2018,MAC,Eastern Michigan,7,6,13,8.5,1.5,-2,39.9,86,25.5,93,26.1,52,-1.5,109,0.97,122
2018,Sun Belt,Georgia Southern,10,3,13,7.9,-2.1,-2.4,38.9,87,27.9,78,31.6,92,1.4,17,0.934,82
2018,ACC,North Carolina,2,9,11,3.8,1.8,-2.5,38.6,88,29.9,58,31.9,95,-0.5,90,0.926,77
2018,MAC,Northern Illinois,8,6,14,7.4,-0.6,-2.7,37.8,89,19.1,117,20.8,23,-1,102,0.939,86
2018,AAC,Tulane,7,6,13,6.6,-0.4,-3.5,35.7,90,23.8,106,28.3,65,0.9,35,0.931,79
2018,C-USA,Middle Tennessee,8,6,14,8.3,0.3,-3.8,34.9,91,24.4,103,28.7,68,0.5,53,0.919,69
2018,C-USA,Southern Miss,6,5,11,6.2,0.2,-5,31.8,92,16.6,122,21.4,27,-0.3,76,0.951,101
2018,AAC,SMU,5,7,12,4.9,-0.1,-5.4,30.7,93,24,105,29.7,79,0.3,62,0.916,64
